Year,State prisons,Federal prisons,State and federal prisons data source
1925,"85,239","6,430","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1926,"91,188","6,803","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1927,"101,624","7,722","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1928,"108,157","8,233","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1929,"107,532","12,964","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1930,"117,268","12,185","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1931,"124,118","12,964","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1932,"125,721","12,276","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1933,"125,962","10,848","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1934,"126,258","12,058","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1935,"129,418","14,762","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1936,"129,664","15,374","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1937,"137,432","15,309","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
1938,"143,152","17,133","Bureau of Justice Statistics, Historical Statistics on Prisoners in State and Federal Institutions, Yearend 1925-86, Table 3  https://www.bjs.gov/content/pub/pdf/hspsfiy25-86.pdf#page=17 "
