Jurisdiction,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
State Total,"277,473","288,086","305,458","341,797","384,133","404,929","427,739","462,284","500,564","536,784","577,672","653,193","708,393","753,951","802,241","879,714","959,668","1,025,624","1,076,375","1,127,686","1,184,113","1,228,440","1,248,815","1,247,039","1,276,616","1,295,542","1,316,772","1,338,292","1,375,628","1,397,217","1,407,002","1,407,369","1,404,032","1,382,606","1,352,582","1,361,084","1,351,752","1,330,148","1,318,937","1,306,131","1,284,487","1,255,689"
Alabama,"5,625","5,464","6,543","7,657","9,233","9,856","10,482","11,015","11,710","12,827","12,610","13,907","15,665","16,760","17,453","18,624","19,573","20,718","21,760","22,290","22,676","24,658","26,406","26,741","27,947","27,913","25,887","27,888","28,241","29,412","30,508","31,874","31,764","32,270","32,431","32,381","31,771","30,810","28,883","27,608","26,841","28,304"
Alaska/c,712,760,822,"1,024","1,322","1,631","1,967","2,329","2,460","2,528","2,588","2,744","2,622","2,706","2,865","2,703","3,292","3,522","3,716","4,165","4,097","3,949","4,173","4,571","4,398","4,527","4,554","4,812","5,069","5,167","5,014","5,285","5,391","5,597","5,633","5,081","5,794","5,338","4,434","4,399","4,380","4,475"
Arizona/d,"3,456","3,749","4,372","5,223","6,069","6,889","7,845","8,531","9,434","10,948","12,095","13,251","14,261","15,415","16,477","17,811","19,746","21,341","22,493","23,484","25,515","25,986","26,510","27,710","29,359","31,170","32,515","33,471","35,801","37,746","39,502","40,544","40,209","40,020","40,080","41,177","42,259","42,719","42,320","42,030","42,005","42,441"
Arkansas,"2,654","3,042","2,911","3,328","3,922","4,246","4,482","4,611","4,701","5,441","5,519","6,649","7,322","7,766","8,285","8,625","8,957","8,910","9,407","10,021","10,638","11,415","11,915","12,594","13,091","13,315","13,807","13,511","13,729","14,314","14,716","15,208","16,204","16,108","14,654","17,235","17,874","17,707","17,537","18,070","17,799","17,759"
California,"21,325","22,632","24,569","29,202","34,640","39,373","43,197","50,158","59,484","66,975","76,171","87,297","97,309","101,808","109,496","119,951","126,091","135,646","146,049","155,790","161,904","163,067","163,001","159,444","161,361","164,487","166,556","170,676","175,512","174,282","173,670","171,275","165,062","149,569","134,534","135,981","136,085","129,593","130,084","131,039","128,625","122,687"
Colorado,"2,486","2,668","2,629","2,772","3,042","3,244","3,231","3,386","3,804","4,808","5,765","6,908","7,671","8,392","8,997","9,462","10,717","11,063","12,438","13,461","14,312","15,670","16,833","17,448","18,833","19,671","20,293","21,456","22,481","22,841","23,274","22,795","22,815","21,978","20,462","20,371","20,646","20,041","19,981","19,946","20,372","19,785"
Connecticut/c,"3,189","4,061","4,308","5,263","5,156","5,474","5,718","6,149","6,905","7,511","8,005","9,301","10,500","10,977","11,403","13,691","14,380","14,802","16,571","17,241","17,605","18,639","18,355","19,196","20,720","19,846","19,497","19,442","20,566","20,924","20,661","19,716","19,321","18,324","17,530","17,563","16,636","15,816","14,957","14,040","13,681","12,823"
"Delaware/c,d","1,325","1,419","1,474","1,712","2,068","2,198","2,202","2,553","2,833","2,982","3,197","3,458","3,471","3,717","4,062","4,210","4,466","4,836","5,110","5,435","5,558","6,983","6,921","7,003","6,778","6,794","6,927","6,944","7,186","7,257","7,057","6,775","6,615","6,739","6,914","7,004","6,955","6,654","6,585","6,443","6,067","5,692"
District of Columbia,"2,864","2,973","3,145","3,479","4,081","4,344","4,521","6,404","6,618","7,645","8,831","9,954","9,947","10,455","10,875","10,845","10,949","9,800","9,376","9,353","9,829","8,652","10,352",--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Florida,"21,436","19,748","20,735","23,589","27,830","26,334","26,914","28,600","32,237","32,445","34,732","39,999","44,387","46,533","48,302","53,048","57,163","63,879","63,763","64,626","67,224","69,596","71,319","72,404","75,210","82,012","85,533","89,768","92,969","98,219","102,388","103,915","104,306","103,055","101,930","103,028","102,870","101,424","99,974","98,504","97,538","96,009"
Georgia,"11,317","12,106","12,178","12,444","14,405","15,358","15,404","16,262","16,922","18,575","18,787","20,885","22,411","23,743","25,290","27,783","33,425","34,266","35,139","36,505","39,262","42,091","44,232","45,937","47,445","47,208","51,104","48,749","52,792","54,256","52,719","56,986","56,432","55,944","55,457","54,004","52,949","52,193","53,627","53,667","53,647","54,816"
"Hawaii/c,e",727,856,985,"1,207","1,461","1,700","1,965","2,111","2,180","2,264","2,300","2,459","2,533","2,700","2,926","3,129","3,333","3,560","4,011","4,978","4,924","4,903","5,053","5,431","5,423","5,828","5,960","6,146","5,967","5,978","5,955","5,891","5,912","6,037","5,831","5,632","5,866","5,879","5,602","5,630","5,375","5,279"
Idaho,802,830,817,957,"1,044","1,187","1,253","1,344","1,448","1,435","1,581","1,850","1,961","2,143","2,256","2,606","2,811","3,328","3,832","3,911","4,083","4,842","5,535","5,984","5,746","5,737","6,375","6,818","7,124","7,319","7,290","7,400","7,431","7,739","7,985","8,242","8,117","8,052","8,252","8,579","8,664","9,437"
Illinois,"11,258","11,935","11,899","14,328","14,293","15,595","17,114","18,634","19,456","19,850","21,081","24,712","27,516","29,115","31,640","34,495","36,531","37,658","38,852","40,788","43,051","44,660","45,281","44,348","42,693","43,418","44,054","44,919","45,106","45,215","45,474","45,161","48,418","48,427","49,348","48,653","48,278","46,240","43,657","41,427","39,965","38,259"
Indiana,"4,923","5,667","6,683","8,022","8,790","9,296","9,328","10,056","10,175","10,827","11,406","12,341","12,736","13,719","13,945","14,470","15,014","16,125","16,960","17,903","19,197","19,309","20,125","20,966","21,611","23,069","24,008","24,455","26,091","27,132","28,322","28,808","28,028","28,906","28,831","29,913","29,271","27,355","25,546","26,024","26,877","27,180"
Iowa,"1,982","2,272","2,481","2,670","2,829","2,814","2,836","2,687","2,777","2,851","3,034","3,584","3,967","4,145","4,518","4,898","5,437","5,906","6,342","6,938","7,394","7,232","7,955","7,962","8,398","8,546","8,525","8,737","8,838","8,732","8,766","8,813","9,455","9,116","8,733","8,697","8,838","8,849","9,031","9,024","9,419","9,282"
Kansas,"2,341","2,290","2,494","2,770","3,078","3,705","4,244","4,732","5,345","5,781","5,817","5,616","5,775","5,903","6,028","5,727","6,371","7,054","7,756","7,911","8,183","8,567","8,344","8,577","8,935","9,132","8,966","9,068","8,816","8,696","8,539","8,641","9,051","9,327","9,682","9,763","9,877","9,857","9,920","10,015","10,218","10,177"
